"date","district","group","n"
"2022-03-23","杨浦区","screen",4
"2022-03-23","长宁区","isolation",9
"2022-03-23","长宁区","screen",2
"2022-03-24","宝山区","isolation",83
"2022-03-24","宝山区","screen",1
"2022-03-24","崇明区","isolation",82
"2022-03-24","奉贤区","isolation",18
"2022-03-24","奉贤区","screen",6
"2022-03-24","虹口区","isolation",14
"2022-03-24","虹口区","screen",15
"2022-03-24","黄浦区","isolation",86
"2022-03-24","黄浦区","screen",16
"2022-03-24","嘉定区","isolation",127
"2022-03-24","嘉定区","screen",2
"2022-03-24","金山区","isolation",10
"2022-03-24","金山区","screen",2
"2022-03-24","静安区","isolation",58
"2022-03-24","静安区","screen",4
"2022-03-24","闵行区","isolation",467
"2022-03-24","闵行区","screen",23
"2022-03-24","浦东新区","isolation",172
"2022-03-24","浦东新区","screen",9
"2022-03-24","普陀区","isolation",34
"2022-03-24","普陀区","screen",2
"2022-03-24","青浦区","isolation",13
"2022-03-24","松江区","isolation",83
"2022-03-24","松江区","screen",9
"2022-03-24","徐汇区","isolation",143
"2022-03-24","徐汇区","screen",22
"2022-03-24","杨浦区","isolation",17
"2022-03-24","杨浦区","screen",3
"2022-03-24","长宁区","isolation",48
"2022-03-24","长宁区","screen",11
"2022-03-25","宝山区","isolation",3
"2022-03-25","宝山区","screen",1
"2022-03-25","崇明区","isolation",41
"2022-03-25","虹口区","screen",4
"2022-03-25","黄浦区","isolation",12
"2022-03-25","黄浦区","screen",11
"2022-03-25","嘉定区","isolation",19
"2022-03-25","金山区","isolation",1
"2022-03-25","静安区","isolation",2
"2022-03-25","闵行区","isolation",195
"2022-03-25","闵行区","screen",7
"2022-03-25","浦东新区","isolation",1453
"2022-03-25","浦东新区","screen",430
"2022-03-25","普陀区","isolation",6
"2022-03-25","普陀区","screen",2
"2022-03-25","青浦区","isolation",13
"2022-03-25","松江区","isolation",13
"2022-03-25","松江区","screen",1
"2022-03-25","徐汇区","isolation",2
"2022-03-25","杨浦区","isolation",11
"2022-03-25","长宁区","isolation",2
"2022-03-25","长宁区","screen",2
"2022-03-26","浦东新区","isolation",267
"2022-03-26","黄浦区","isolation",144
"2022-03-26","徐汇区","isolation",291
"2022-03-26","长宁区","isolation",20
"2022-03-26","静安区","isolation",99
"2022-03-26","普陀区","isolation",53
"2022-03-26","虹口区","isolation",36
"2022-03-26","杨浦区","isolation",13
"2022-03-26","闵行区","isolation",885
"2022-03-26","宝山区","isolation",128
"2022-03-26","嘉定区","isolation",226
"2022-03-26","金山区","isolation",4
"2022-03-26","松江区","isolation",70
"2022-03-26","青浦区","isolation",20
"2022-03-26","奉贤区","isolation",81
"2022-03-26","崇明区","isolation",26
"2022-03-26","浦东新区","screen",55
"2022-03-26","黄浦区","screen",16
"2022-03-26","徐汇区","screen",35
"2022-03-26","长宁区","screen",7
"2022-03-26","静安区","screen",6
"2022-03-26","普陀区","screen",15
"2022-03-26","虹口区","screen",13
"2022-03-26","杨浦区","screen",8
"2022-03-26","闵行区","screen",72
"2022-03-26","宝山区","screen",19
"2022-03-26","嘉定区","screen",7
"2022-03-26","松江区","screen",9
"2022-03-26","青浦区","screen",2
"2022-03-26","奉贤区","screen",3
"2022-03-26","崇明区","screen",1
"2022-03-27","浦东新区","isolation",1003
"2022-03-27","黄浦区","isolation",49
"2022-03-27","徐汇区","isolation",218
"2022-03-27","长宁区","isolation",41
"2022-03-27","静安区","isolation",61
"2022-03-27","普陀区","isolation",49
"2022-03-27","虹口区","isolation",22
"2022-03-27","杨浦区","isolation",26
"2022-03-27","闵行区","isolation",559
"2022-03-27","宝山区","isolation",74
"2022-03-27","嘉定区","isolation",236
"2022-03-27","金山区","isolation",10
"2022-03-27","松江区","isolation",174
"2022-03-27","青浦区","isolation",35
"2022-03-27","奉贤区","isolation",40
"2022-03-27","崇明区","isolation",236
"2022-03-27","浦东新区","screen",422
"2022-03-27","黄浦区","screen",6
"2022-03-27","徐汇区","screen",53
"2022-03-27","长宁区","screen",4
"2022-03-27","静安区","screen",4
"2022-03-27","普陀区","screen",17
"2022-03-27","虹口区","screen",4
"2022-03-27","杨浦区","screen",9
"2022-03-27","闵行区","screen",40
"2022-03-27","宝山区","screen",15
"2022-03-27","嘉定区","screen",12
"2022-03-27","金山区","screen",3
"2022-03-27","松江区","screen",15
"2022-03-27","青浦区","screen",8
"2022-03-27","奉贤区","screen",5
"2022-03-28","浦东新区","isolation",2100
"2022-03-28","黄浦区","isolation",266
"2022-03-28","徐汇区","isolation",60
"2022-03-28","长宁区","isolation",99
"2022-03-28","静安区","isolation",90
"2022-03-28","普陀区","isolation",53
"2022-03-28","虹口区","isolation",1
"2022-03-28","杨浦区","isolation",41
"2022-03-28","闵行区","isolation",335
"2022-03-28","宝山区","isolation",291
"2022-03-28","嘉定区","isolation",172
"2022-03-28","金山区","isolation",17
"2022-03-28","松江区","isolation",81
"2022-03-28","青浦区","isolation",51
"2022-03-28","奉贤区","isolation",100
"2022-03-28","崇明区","isolation",67
"2022-03-28","浦东新区","screen",367
"2022-03-28","黄浦区","screen",16
"2022-03-28","徐汇区","screen",25
"2022-03-28","长宁区","screen",9
"2022-03-28","静安区","screen",4
"2022-03-28","普陀区","screen",25
"2022-03-28","虹口区","screen",3
"2022-03-28","杨浦区","screen",6
"2022-03-28","闵行区","screen",26
"2022-03-28","宝山区","screen",12
"2022-03-28","嘉定区","screen",35
"2022-03-28","金山区","screen",1
"2022-03-28","松江区","screen",9
"2022-03-28","青浦区","screen",4
"2022-03-28","奉贤区","screen",15
"2022-03-29","浦东新区","isolation",1822
"2022-03-29","黄浦区","isolation",57
"2022-03-29","徐汇区","isolation",968
"2022-03-29","长宁区","isolation",27
"2022-03-29","静安区","isolation",156
"2022-03-29","普陀区","isolation",99
"2022-03-29","虹口区","isolation",49
"2022-03-29","杨浦区","isolation",88
"2022-03-29","闵行区","isolation",914
"2022-03-29","宝山区","isolation",270
"2022-03-29","嘉定区","isolation",233
"2022-03-29","金山区","isolation",23
"2022-03-29","松江区","isolation",210
"2022-03-29","青浦区","isolation",85
"2022-03-29","奉贤区","isolation",77
"2022-03-29","崇明区","isolation",53
"2022-03-29","浦东新区","screen",192
"2022-03-29","黄浦区","screen",47
"2022-03-29","徐汇区","screen",98
"2022-03-29","静安区","screen",11
"2022-03-29","普陀区","screen",8
"2022-03-29","虹口区","screen",17
"2022-03-29","杨浦区","screen",8
"2022-03-29","闵行区","screen",45
"2022-03-29","宝山区","screen",60
"2022-03-29","嘉定区","screen",13
"2022-03-29","金山区","screen",1
"2022-03-29","松江区","screen",4
"2022-03-29","青浦区","screen",2
"2022-03-29","奉贤区","screen",18
"2022-03-29","崇明区","screen",1
"2022-03-30","浦东新区","isolation",1660
"2022-03-30","黄浦区","isolation",275
"2022-03-30","徐汇区","isolation",294
"2022-03-30","长宁区","isolation",108
"2022-03-30","静安区","isolation",78
"2022-03-30","普陀区","isolation",111
"2022-03-30","虹口区","isolation",29
"2022-03-30","杨浦区","isolation",91
"2022-03-30","闵行区","isolation",680
"2022-03-30","宝山区","isolation",485
"2022-03-30","嘉定区","isolation",108
"2022-03-30","金山区","isolation",30
"2022-03-30","松江区","isolation",211
"2022-03-30","青浦区","isolation",63
"2022-03-30","奉贤区","isolation",63
"2022-03-30","崇明区","isolation",191
"2022-03-30","浦东新区","screen",298
"2022-03-30","黄浦区","screen",70
"2022-03-30","徐汇区","screen",95
"2022-03-30","长宁区","screen",12
"2022-03-30","静安区","screen",16
"2022-03-30","普陀区","screen",29
"2022-03-30","虹口区","screen",54
"2022-03-30","杨浦区","screen",6
"2022-03-30","闵行区","screen",81
"2022-03-30","宝山区","screen",18
"2022-03-30","嘉定区","screen",41
"2022-03-30","金山区","screen",3
"2022-03-30","松江区","screen",27
"2022-03-30","青浦区","screen",9
"2022-03-30","奉贤区","screen",60
"2022-03-30","崇明区","screen",2
"2022-03-31","浦东新区","isolation",2080
"2022-03-31","黄浦区","isolation",92
"2022-03-31","徐汇区","isolation",184
"2022-03-31","长宁区","isolation",179
"2022-03-31","静安区","isolation",147
"2022-03-31","普陀区","isolation",5
"2022-03-31","虹口区","isolation",96
"2022-03-31","杨浦区","isolation",156
"2022-03-31","闵行区","isolation",273
"2022-03-31","宝山区","isolation",5
"2022-03-31","嘉定区","isolation",36
"2022-03-31","金山区","isolation",38
"2022-03-31","松江区","isolation",146
"2022-03-31","青浦区","isolation",73
"2022-03-31","奉贤区","isolation",173
"2022-03-31","崇明区","isolation",27
"2022-03-31","浦东新区","screen",147
"2022-03-31","黄浦区","screen",22
"2022-03-31","徐汇区","screen",22
"2022-03-31","长宁区","screen",34
"2022-03-31","静安区","screen",13
"2022-03-31","普陀区","screen",4
"2022-03-31","虹口区","screen",24
"2022-03-31","杨浦区","screen",13
"2022-03-31","闵行区","screen",60
"2022-03-31","宝山区","screen",8
"2022-03-31","嘉定区","screen",11
"2022-03-31","金山区","screen",1
"2022-03-31","松江区","screen",33
"2022-03-31","青浦区","screen",21
"2022-03-31","奉贤区","screen",5
"2022-03-31","崇明区","screen",16
"2022-04-01","浦东新区","isolation",2426
"2022-04-01","黄浦区","isolation",238
"2022-04-01","徐汇区","isolation",385
"2022-04-01","长宁区","isolation",32
"2022-04-01","静安区","isolation",147
"2022-04-01","普陀区","isolation",198
"2022-04-01","虹口区","isolation",43
"2022-04-01","杨浦区","isolation",106
"2022-04-01","闵行区","isolation",833
"2022-04-01","宝山区","isolation",16
"2022-04-01","嘉定区","isolation",164
"2022-04-01","金山区","isolation",46
"2022-04-01","松江区","isolation",453
"2022-04-01","青浦区","isolation",76
"2022-04-01","奉贤区","isolation",156
"2022-04-01","崇明区","isolation",83
"2022-04-01","浦东新区","screen",79
"2022-04-01","黄浦区","screen",17
"2022-04-01","徐汇区","screen",217
"2022-04-01","长宁区","screen",5
"2022-04-01","静安区","screen",31
"2022-04-01","普陀区","screen",34
"2022-04-01","虹口区","screen",15
"2022-04-01","杨浦区","screen",17
"2022-04-01","闵行区","screen",153
"2022-04-01","宝山区","screen",19
"2022-04-01","嘉定区","screen",27
"2022-04-01","松江区","screen",21
"2022-04-01","青浦区","screen",11
"2022-04-01","奉贤区","screen",3
"2022-04-02","浦东新区","isolation",1825
"2022-04-02","黄浦区","isolation",485
"2022-04-02","徐汇区","isolation",744
"2022-04-02","长宁区","isolation",81
"2022-04-02","静安区","isolation",261
"2022-04-02","普陀区","isolation",290
"2022-04-02","虹口区","isolation",174
"2022-04-02","杨浦区","isolation",233
"2022-04-02","闵行区","isolation",692
"2022-04-02","宝山区","isolation",396
"2022-04-02","嘉定区","isolation",536
"2022-04-02","金山区","isolation",60
"2022-04-02","松江区","isolation",548
"2022-04-02","青浦区","isolation",192
"2022-04-02","奉贤区","isolation",146
"2022-04-02","崇明区","isolation",110
"2022-04-02","浦东新区","screen",105
"2022-04-02","黄浦区","screen",147
"2022-04-02","徐汇区","screen",254
"2022-04-02","长宁区","screen",12
"2022-04-02","静安区","screen",37
"2022-04-02","普陀区","screen",59
"2022-04-02","虹口区","screen",138
"2022-04-02","杨浦区","screen",22
"2022-04-02","闵行区","screen",82
"2022-04-02","宝山区","screen",54
"2022-04-02","嘉定区","screen",55
"2022-04-02","松江区","screen",11
"2022-04-02","青浦区","screen",36
"2022-04-02","奉贤区","screen",3
"2022-04-03","浦东新区","isolation",3308
"2022-04-03","黄浦区","isolation",773
"2022-04-03","徐汇区","isolation",393
"2022-04-03","长宁区","isolation",84
"2022-04-03","静安区","isolation",264
"2022-04-03","普陀区","isolation",243
"2022-04-03","虹口区","isolation",157
"2022-04-03","杨浦区","isolation",314
"2022-04-03","闵行区","isolation",812
"2022-04-03","宝山区","isolation",371
"2022-04-03","嘉定区","isolation",383
"2022-04-03","金山区","isolation",92
"2022-04-03","松江区","isolation",234
"2022-04-03","青浦区","isolation",224
"2022-04-03","奉贤区","isolation",105
"2022-04-03","崇明区","isolation",163
"2022-04-03","浦东新区","screen",206
"2022-04-03","黄浦区","screen",37
"2022-04-03","徐汇区","screen",72
"2022-04-03","长宁区","screen",6
"2022-04-03","静安区","screen",45
"2022-04-03","普陀区","screen",57
"2022-04-03","虹口区","screen",20
"2022-04-03","杨浦区","screen",30
"2022-04-03","闵行区","screen",60
"2022-04-03","宝山区","screen",64
"2022-04-03","嘉定区","screen",18
"2022-04-03","金山区","screen",7
"2022-04-03","松江区","screen",23
"2022-04-03","青浦区","screen",5
"2022-04-03","奉贤区","screen",10
"2022-04-03","崇明区","screen",1
"2022-04-04","浦东新区","isolation",6518
"2022-04-04","黄浦区","isolation",933
"2022-04-04","徐汇区","isolation",1193
"2022-04-04","长宁区","isolation",30
"2022-04-04","静安区","isolation",44
"2022-04-04","普陀区","isolation",240
"2022-04-04","虹口区","isolation",594
"2022-04-04","杨浦区","isolation",200
"2022-04-04","闵行区","isolation",1339
"2022-04-04","宝山区","isolation",262
"2022-04-04","嘉定区","isolation",229
"2022-04-04","金山区","isolation",50
"2022-04-04","松江区","isolation",544
"2022-04-04","青浦区","isolation",309
"2022-04-04","奉贤区","isolation",60
"2022-04-04","崇明区","isolation",47
"2022-04-04","浦东新区","screen",348
"2022-04-04","黄浦区","screen",29
"2022-04-04","徐汇区","screen",28
"2022-04-04","长宁区","screen",2
"2022-04-04","静安区","screen",5
"2022-04-04","普陀区","screen",10
"2022-04-04","虹口区","screen",9
"2022-04-04","杨浦区","screen",10
"2022-04-04","闵行区","screen",31
"2022-04-04","宝山区","screen",2
"2022-04-04","嘉定区","screen",4
"2022-04-04","金山区","screen",1
"2022-04-04","松江区","screen",9
"2022-04-04","青浦区","screen",4
"2022-04-04","奉贤区","screen",2
"2022-04-05","浦东新区","isolation",7752
"2022-04-05","黄浦区","isolation",607
"2022-04-05","徐汇区","isolation",827
"2022-04-05","长宁区","isolation",73
"2022-04-05","静安区","isolation",273
"2022-04-05","普陀区","isolation",467
"2022-04-05","虹口区","isolation",393
"2022-04-05","杨浦区","isolation",586
"2022-04-05","闵行区","isolation",2863
"2022-04-05","宝山区","isolation",533
"2022-04-05","嘉定区","isolation",466
"2022-04-05","金山区","isolation",76
"2022-04-05","松江区","isolation",750
"2022-04-05","青浦区","isolation",376
"2022-04-05","奉贤区","isolation",138
"2022-04-05","崇明区","isolation",76
"2022-04-05","浦东新区","screen",231
"2022-04-05","黄浦区","screen",35
