"date","district","group","n"
"2022-04-05","闵行区","screen",14
"2022-04-05","宝山区","screen",5
"2022-04-05","嘉定区","screen",5
"2022-04-05","金山区","screen",1
"2022-04-05","松江区","screen",8
"2022-04-05","青浦区","screen",6
"2022-04-05","奉贤区","screen",2
"2022-04-05","浦东新区","asym",6
"2022-04-05","黄浦区","asym",3
"2022-04-05","徐汇区","asym",3
"2022-04-05","长宁区","asym",1
"2022-04-05","静安区","asym",1
"2022-04-05","普陀区","asym",1
"2022-04-05","虹口区","asym",1
"2022-04-05","杨浦区","asym",1
"2022-04-05","闵行区","asym",9
"2022-04-05","宝山区","asym",1
"2022-04-05","嘉定区","asym",6
"2022-04-05","松江区","asym",5
"2022-04-05","崇明区","asym",2
"2022-04-06","浦东新区","isolation",4
"2022-04-06","黄浦区","isolation",2
"2022-04-06","静安区","isolation",1
"2022-04-06","普陀区","isolation",1
"2022-04-06","杨浦区","isolation",3
"2022-04-06","松江区","isolation",1
"2022-04-06","浦东新区","screen",139
"2022-04-06","黄浦区","screen",7
"2022-04-06","徐汇区","screen",16
"2022-04-06","长宁区","screen",30
"2022-04-06","静安区","screen",25
"2022-04-06","普陀区","screen",26
"2022-04-06","虹口区","screen",1
"2022-04-06","杨浦区","screen",9
"2022-04-06","闵行区","screen",20
"2022-04-06","宝山区","screen",9
"2022-04-06","嘉定区","screen",5
"2022-04-06","金山区","screen",3
"2022-04-06","松江区","screen",1
"2022-04-06","青浦区","screen",4
"2022-04-06","浦东新区","asym",8
"2022-04-06","徐汇区","asym",3
"2022-04-06","长宁区","asym",1
"2022-04-06","静安区","asym",1
"2022-04-06","闵行区","asym",1
"2022-04-06","嘉定区","asym",1
"2022-04-07","浦东新区","isolation",1
"2022-04-07","闵行区","isolation",1
"2022-04-07","松江区","isolation",93
"2022-04-07","奉贤区","isolation",26
"2022-04-07","浦东新区","screen",251
"2022-04-07","黄浦区","screen",6
"2022-04-07","徐汇区","screen",12
"2022-04-07","长宁区","screen",11
"2022-04-07","静安区","screen",5
"2022-04-07","普陀区","screen",6
"2022-04-07","虹口区","screen",8
"2022-04-07","杨浦区","screen",8
"2022-04-07","闵行区","screen",60
"2022-04-07","宝山区","screen",4
"2022-04-07","嘉定区","screen",5
"2022-04-07","金山区","screen",1
"2022-04-07","松江区","screen",2
"2022-04-07","奉贤区","screen",1
"2022-04-07","浦东新区","asym",55
"2022-04-07","黄浦区","asym",8
"2022-04-07","徐汇区","asym",31
"2022-04-07","长宁区","asym",18
"2022-04-07","静安区","asym",17
"2022-04-07","普陀区","asym",5
"2022-04-07","虹口区","asym",18
"2022-04-07","杨浦区","asym",21
"2022-04-07","闵行区","asym",34
"2022-04-07","宝山区","asym",5
"2022-04-07","嘉定区","asym",18
"2022-04-07","金山区","asym",71
"2022-04-07","松江区","asym",12
"2022-04-07","青浦区","asym",4
"2022-04-07","奉贤区","asym",4
"2022-04-07","崇明区","asym",2
"2022-04-08","浦东新区","isolation",133
"2022-04-08","徐汇区","isolation",56
"2022-04-08","静安区","isolation",2
"2022-04-08","普陀区","isolation",1
"2022-04-08","宝山区","isolation",1
"2022-04-08","嘉定区","isolation",12
"2022-04-08","松江区","isolation",87
"2022-04-08","青浦区","isolation",9
"2022-04-08","浦东新区","screen",172
"2022-04-08","黄浦区","screen",7
"2022-04-08","徐汇区","screen",20
"2022-04-08","长宁区","screen",9
"2022-04-08","静安区","screen",23
"2022-04-08","普陀区","screen",8
"2022-04-08","虹口区","screen",2
"2022-04-08","杨浦区","screen",5
"2022-04-08","闵行区","screen",23
"2022-04-08","宝山区","screen",6
"2022-04-08","嘉定区","screen",3
"2022-04-08","金山区","screen",2
"2022-04-08","松江区","screen",4
"2022-04-08","青浦区","screen",7
"2022-04-08","奉贤区","screen",1
"2022-04-08","崇明区","screen",2
"2022-04-08","浦东新区","asym",43
"2022-04-08","黄浦区","asym",34
"2022-04-08","徐汇区","asym",38
"2022-04-08","长宁区","asym",11
"2022-04-08","静安区","asym",17
"2022-04-08","普陀区","asym",12
"2022-04-08","虹口区","asym",16
"2022-04-08","杨浦区","asym",7
"2022-04-08","闵行区","asym",39
"2022-04-08","宝山区","asym",22
"2022-04-08","嘉定区","asym",101
"2022-04-08","金山区","asym",43
"2022-04-08","松江区","asym",17
"2022-04-08","青浦区","asym",8
"2022-04-08","奉贤区","asym",11
"2022-04-08","崇明区","asym",1
"2022-04-09","浦东新区","isolation",92
"2022-04-09","黄浦区","isolation",59
"2022-04-09","长宁区","isolation",6
"2022-04-09","静安区","isolation",3
"2022-04-09","闵行区","isolation",37
"2022-04-09","宝山区","isolation",2
"2022-04-09","嘉定区","isolation",7
"2022-04-09","金山区","isolation",20
"2022-04-09","崇明区","isolation",2
"2022-04-09","浦东新区","screen",380
"2022-04-09","黄浦区","screen",31
"2022-04-09","徐汇区","screen",28
"2022-04-09","长宁区","screen",17
"2022-04-09","静安区","screen",21
"2022-04-09","普陀区","screen",20
"2022-04-09","虹口区","screen",5
"2022-04-09","杨浦区","screen",19
"2022-04-09","闵行区","screen",31
"2022-04-09","宝山区","screen",23
"2022-04-09","嘉定区","screen",6
"2022-04-09","金山区","screen",1
"2022-04-09","松江区","screen",1
"2022-04-09","青浦区","screen",2
"2022-04-09","奉贤区","screen",1
"2022-04-09","崇明区","screen",1
"2022-04-09","浦东新区","asym",45
"2022-04-09","黄浦区","asym",11
"2022-04-09","徐汇区","asym",16
"2022-04-09","长宁区","asym",3
"2022-04-09","静安区","asym",1
"2022-04-09","普陀区","asym",4
"2022-04-09","虹口区","asym",7
"2022-04-09","杨浦区","asym",13
"2022-04-09","闵行区","asym",20
"2022-04-09","宝山区","asym",11
"2022-04-09","嘉定区","asym",8
"2022-04-09","金山区","asym",23
"2022-04-09","松江区","asym",9
