"district","address","lng","lat","date"
"浦东新区","上海市浦东新区昌里路98弄",121.509564638323,31.1806719991486,2022-04-08
"浦东新区","上海市浦东新区昌邑路1669号",121.548057029426,31.2528668363296,2022-04-08
"浦东新区","上海市浦东新区昌邑路55弄",121.519121980136,31.2460588518643,2022-04-08
"浦东新区","上海市浦东新区朝阳村陈家宅",121.740394030642,31.2551728670129,2022-04-08
"浦东新区","上海市浦东新区朝阳村丁家宅",121.743679044062,31.2523128556918,2022-04-08
"浦东新区","上海市浦东新区朝阳村胡家宅",121.73782272095,31.2568257188641,2022-04-08
"浦东新区","上海市浦东新区朝阳村徐家宅",121.740394030642,31.2551728670129,2022-04-08
"浦东新区","上海市浦东新区车站村",121.765886683388,30.9779011003031,2022-04-08
"浦东新区","上海市浦东新区陈春路620弄",121.552907609688,31.1780781941088,2022-04-08
"浦东新区","上海市浦东新区陈店村",121.809520076924,30.9531872793657,2022-04-08
"浦东新区","上海市浦东新区陈胡村胡家宅",121.775553708303,31.200086337707,2022-04-08
"浦东新区","上海市浦东新区陈胡村新建宅",121.775553708303,31.200086337707,2022-04-08
"浦东新区","上海市浦东新区陈桥村",121.562680275331,31.1801778362394,2022-04-08
"浦东新区","上海市浦东新区撑圩村",121.699485287548,31.2867503457957,2022-04-08
"浦东新区","上海市浦东新区成山路1488弄",121.533431537757,31.1819798422434,2022-04-08
"浦东新区","上海市浦东新区成山路2008弄",121.543485283194,31.1832765452903,2022-04-08
"浦东新区","上海市浦东新区成山路248弄",121.505634012734,31.1746958362204,2022-04-08
"浦东新区","上海市浦东新区成山路24弄",121.492308997952,31.1741468770644,2022-04-08
"浦东新区","上海市浦东新区成山路544弄",121.514758730613,31.174425412251,2022-04-08
"浦东新区","上海市浦东新区成山路601弄",121.515312086807,31.180125469339,2022-04-08
"浦东新区","上海市浦东新区成山路648弄",121.515115986714,31.1776118237191,2022-04-08
"浦东新区","上海市浦东新区成山路华鹏路交界口工地生活区",121.53193711671,31.1821015658011,2022-04-08
"浦东新区","上海市浦东新区成山路浦三路交界口工地生活区",121.515782529402,31.1782385421865,2022-04-08
"浦东新区","上海市浦东新区城丰路143弄",121.693337823621,31.1963156430725,2022-04-08
"浦东新区","上海市浦东新区城丰路15弄",121.697081871156,31.197356076198,2022-04-08
"浦东新区","上海市浦东新区城南村朱家宅",121.705982641471,31.1940629147939,2022-04-08
"浦东新区","上海市浦东新区城南路168弄",121.639786957594,30.9092454033942,2022-04-08
"浦东新区","上海市浦东新区城南路229弄",121.712862853203,31.1975095184491,2022-04-08
"浦东新区","上海市浦东新区城南路267弄",121.712705380247,31.1987416035081,2022-04-08
"浦东新区","上海市浦东新区城南路5122号",121.702761228082,31.1965480097893,2022-04-08
"浦东新区","上海市浦东新区城南路550弄",121.703256014757,31.1971108924117,2022-04-08
